,name,thal_dist,thal_dir,rb_dis,rb_dir,lb_dis,lb_dir,bfw,Reach
0,119,24.09917245109899,-93.69931949195859,82.49703735121493,86.30068050779907,49.35471207907941,-93.69931949161285,128.302284129079,UBR1
1,120,32.21943302620071,-93.69931949200223,85.24905271694068,86.30068050793494,53.99840627144422,-93.6993194918515,138.5455941626705,UBR1
2,121,77.51172672122594,-86.32550047888789,53.16910005970224,93.6744995210766,118.35266661291129,-86.32550047895259,156.59950805606945,UBR1
3,122,79.77673613811017,-122.15229514167773,57.572685842133815,57.847704857921755,98.44939434674035,-122.15229514157652,155.1784495479789,UBR1
4,123,44.41344813041896,-5.108887347771954,89.2908871877408,-5.108887347536917,108.60164753130763,174.8911126544859,155.3422928087278,UBR1
5,124,78.61059146821104,-5.108887347385623,156.13896583650154,-5.108887348401287,58.04046048653737,174.8911126542624,144.96469457508326,UBR1
6,125,51.90349970550607,107.60463333690427,66.1129288844732,-72.39536666227819,78.78388901140747,107.60463333665469,143.94670527162629,UBR1
7,126,84.04497510125461,98.93956500316034,44.85621340017291,-81.06043499687489,109.54759836417665,98.93956500302279,146.1371332383224,UBR1
8,127,26.745274319546297,143.1301023535325,133.8037158697378,-36.86989764406438,37.94283298240043,143.1301023428173,153.34774425827402,UBR1
9,128,6.861036799919357,104.38139459129584,172.35299748900576,-75.61860540673032,21.25197662417771,104.3813945817984,167.2710719186061,UBR1
10,129,129.65125808806164,172.0424747728563,162.49598349938765,172.04247477277883,10.490067726512327,172.0424747767495,147.8503304824639,UBR2
11,130,83.73216035178562,167.50451708025284,136.42401750484842,167.5045170804486,30.92317306414642,-12.49548291550513,161.23894292392922,UBR2
12,131,84.50970466546313,167.31652719618157,137.17473214886786,167.3165271968583,30.06442103221265,-12.683472804129703,161.26905233118768,UBR2
13,132,88.94881069292771,168.69006752586216,140.6905330417067,168.69006752631915,25.96307673526761,-11.309932475430957,162.2252997948683,UBR2
14,133,87.12002140366471,168.69006752603235,135.96668244593025,168.69006752618665,27.027624214126927,-11.309932473560421,162.18084047041154,UBR2
15,134,113.2144072200347,168.6900675258758,165.1322460284387,168.69006752588476,1.6826169193867415,-11.309932496954374,162.03554937821414,UBR2
16,135,23.17704753631221,-173.11827637022515,60.714633230034316,-173.1182763694524,81.1351591901021,6.881723631053481,126.36146943567158,UBR2
17,136,35.741764151438915,-44.23610153962771,24.180084344735103,135.76389845111302,153.521724635145,-44.23610153778964,175.4566235466018,UBR2
18,137,36.67564950458418,93.25194560059498,110.89120598881492,93.25194560041574,65.78212813414544,-86.74805439915296,151.45123355943576,UBR2
19,138,33.85872598950111,115.62841887791993,111.77029392834832,115.62841887933367,75.1738727056087,-64.37158112475758,146.74627412269663,UBR2
20,139,15.664264389956617,172.37185033063926,108.36842325937201,172.3718503331024,3.4198102785719446,-7.6281498036179025,110.19028485648428,UBR2
21,140,55.42317623917448,136.57445362614175,16.049270218610186,136.57445362554253,121.69849689604082,136.5744536263671,105.34744113731898,UBR2
22,141,11.24312752202526,-6.556946498190486,48.61207764831062,-6.556946501474079,131.59047372184645,173.443053502001,141.57340983497554,UBR2
23,142,8.034510655636383,164.42745640134123,22.662758859349363,-15.572543587986408,123.20884107446672,-160.92490150762237,141.85267501633862,UBR2
24,143,36.401786337129195,173.58915998035474,24.692536285543515,173.58915997923972,171.65200960676773,-155.8603315883876,150.9101007037986,UBR2
25,144,14.788850985634651,70.03412529067177,33.69034736302368,70.03412528501495,170.36069022643179,-109.96587470869859,154.1486820826665,UBR2
26,145,60.10871236757962,102.6926655449633,141.50456978307892,102.69266554486042,11.89527773161654,-77.30733445431784,137.1226234481557,UBR2
27,146,60.40377059587241,102.69266554495533,142.79849499076664,102.69266554491611,12.420225295240696,-77.3073344550898,139.33644131266644,UBR2
28,147,43.73562896739514,102.69266554491684,127.885826510138,102.69266554507732,30.529497902384144,-77.30733445683208,143.40925240621135,UBR2
29,148,42.63773470857542,-66.07749411549815,106.68636985650333,113.92250588486807,70.31445439909113,-66.0774941147182,176.88114586787478,UBR2
30,149,27.816581680137038,-66.07749411490609,129.7750320520642,113.92250588351806,55.327973805376864,-66.07749411179535,181.43218720531056,UBR2
31,150,69.45826873715018,16.144338780353877,160.10030935974615,16.144338780569935,38.376147515641804,-163.85566121950345,191.37770191383353,UBR3
32,151,11.383852766426982,-60.86570780276544,83.59939675558121,119.13429220299518,60.47215018567178,-60.86570780786513,144.05579196308958,UBR4
