,name,thal_dist,thal_dir,rb_dis,rb_dir,lb_dis,lb_dir,bfw,Reach
0,119,24.09917245109899,-93.69931949195859,80.41246823268177,79.52965844140094,48.73545856083852,-104.30027744855109,124.40932390001726,UBR1
1,120,32.21943302620071,-93.69931949200223,82.1124057735261,70.70995378033591,53.68369924546221,-87.51044707868087,132.66742308088044,UBR1
2,121,77.51172672122594,-86.32550047888789,49.59448263939566,72.54513220721782,106.04240063583785,-104.35933654450861,153.308755138325,UBR1
3,122,79.77673613811017,-122.15229514167773,55.98373442935921,69.39675892665227,98.33312874836503,-113.03504448825828,153.66018926339228,UBR1
4,123,44.41344813041896,-5.108887347771954,82.63682854314065,17.091901948711612,96.34800901095672,-153.11306580764332,174.75728617367005,UBR1
5,124,78.61059146821104,-5.108887347385623,127.34139988192213,17.463926891895618,49.22334491108023,-153.113065807748,164.49393971774364,UBR1
6,125,51.90349970550607,107.60463333690427,61.66618528405882,-50.063616853457305,78.26728989844405,114.16961244473285,137.61333081223242,UBR1
7,126,84.04497510125461,98.93956500316034,41.330076153231644,-58.19061071216432,103.71825180599018,119.10473162630939,145.00228800296767,UBR1
8,127,26.745274319546297,143.1301023535325,133.10938394694332,-42.70938995760506,37.89965038268523,140.3962922397267,160.74792692426456,UBR1
9,128,6.861036799919357,104.38139459129584,146.37128618200313,-50.35060923784805,20.87808585734786,115.14478563080586,148.46425060368173,UBR1
10,129,129.65125808806164,172.0424747728563,162.34742437764308,169.59228868761096,9.921360350779318,151.55707137557508,149.17323169163856,UBR2
11,130,83.73216035178562,167.50451708025284,134.7750061718462,158.58703052519328,30.215686344959142,-24.77514056762933,162.36357746034724,UBR2
12,131,84.50970466546313,167.31652719618157,135.58568422528444,158.5870305253366,29.397403074147007,-24.775140566264707,162.40354456388496,UBR2
13,132,88.94881069292771,168.69006752586216,138.50896919821747,158.5870305252601,25.96014172775162,-12.171458208604708,160.28351339183007,UBR2
14,133,87.12002140366471,168.69006752603235,133.85836718169088,158.58703052538291,26.887705267244172,-5.477368728602235,157.77103644331007,UBR2
15,134,113.2144072200347,168.6900675258758,162.57168612771562,158.58703052542182,1.6824267072625856,-12.171458210183248,159.63308675868586,UBR2
16,135,23.17704753631221,-173.11827637022515,58.64258759322875,171.86989764586815,71.96101255839817,-19.480800228042778,129.45660349156105,UBR2
17,136,35.741764151438915,-44.23610153962771,24.172155999698603,137.23117460877063,151.58204410085602,-35.11859387965296,175.53904880296807,UBR2
18,137,36.67564950458418,93.25194560059498,110.8748379075725,94.23639479992099,65.74071940446834,-88.78112476521187,149.85204776287839,UBR2
19,138,33.85872598950111,115.62841887791993,104.32894807631578,98.2736153257539,71.92090255744601,-81.28856244824185,175.28891987307964,UBR2
20,139,15.664264389956617,172.37185033063926,107.51430163562144,165.1735200298816,3.4122698207261317,-11.433681272272425,110.73812834849194,UBR2
21,140,55.42317623917448,136.57445362614175,15.910761682382347,144.10733431104117,121.35086683972403,140.9061411137505,105.46493228643216,UBR2
22,141,11.24312752202526,-6.556946498190486,44.30464187311874,17.744671624598087,97.74521156026245,-160.92490150754844,142.03790979994957,UBR2
23,142,8.034510655636383,164.42745640134123,18.937961366848725,17.74467162452021,123.20884107446672,-160.92490150762237,142.1416971509189,UBR2
24,143,36.401786337129195,173.58915998035474,24.353544514903348,-176.9059419413194,171.65200960676773,-155.8603315883876,149.1795479690686,UBR2
25,144,14.788850985634651,70.03412529067177,33.36806547283025,62.10272896882894,122.4408176487282,-132.13500544862436,155.0013459894153,UBR2
26,145,60.10871236757962,102.6926655449633,136.92616290060698,88.07804404099015,11.631765292878656,-65.22485943144844,120.96922905434141,UBR2
27,146,60.40377059587241,102.69266554495533,138.17822291640934,88.07804404100673,12.145083853952936,-65.2248594313407,122.38238229745,UBR2
28,147,43.73562896739514,102.69266554491684,123.74805661974152,88.078044040995,29.853187299751887,-65.22485943057508,126.65734170567814,UBR2
29,148,42.63773470857542,-66.07749411549815,103.30669525047485,99.4623222072189,70.26691156674785,-63.97040780855796,169.28489306092686,UBR2
30,149,27.816581680137038,-66.07749411490609,121.27860127282794,99.46232220724804,55.31525189562596,-67.30620505507653,172.2326288778828,UBR2
31,150,69.45826873715018,16.144338780353877,153.8776311243271,32.152295141725865,37.00357732837004,-179.2257798347017,169.61458412732364,UBR3
32,151,11.383852766426982,-60.86570780276544,81.35209596370107,105.81919394742125,60.46553723898384,-60.01836063140057,139.34501179169672,UBR4
